Wall time,Step,Value
1743932337.352634,2048,97.14286041259766
1743932340.838558,4096,96.69047546386719
1743932344.3153307,6144,96.52381134033203
1743932348.6288729,8192,95.1744155883789
1743932351.9475029,10240,93.98999786376953
1743932355.289054,12288,92.61000061035156
1743932358.5727549,14336,91.83000183105469
1743932361.7840557,16384,92.30000305175781
1743932365.6947875,18432,93.72000122070312
1743932369.1698833,20480,93.36000061035156
1743932372.9028182,22528,92.91999816894531
1743932377.6982825,24576,92.44999694824219
1743932381.4622269,26624,90.05999755859375
1743932385.5881982,28672,90.30999755859375
1743932389.4693508,30720,91.98999786376953
1743932392.9695725,32768,91.7699966430664
1743932396.52554,34816,91.9800033569336
1743932399.921722,36864,94.25
1743932403.368249,38912,94.63999938964844
1743932406.582041,40960,92.47000122070312
1743932409.9410217,43008,91.19999694824219
1743932413.0577776,45056,91.58999633789062
1743932416.4420123,47104,91.13999938964844
1743932420.3644357,49152,90.18000030517578
1743932423.7689414,51200,92.7300033569336
1743932427.1070654,53248,94.41999816894531
1743932430.4744487,55296,94.31999969482422
1743932433.6255715,57344,93.0199966430664
1743932436.724051,59392,94.66999816894531
1743932439.8338895,61440,95.26000213623047
1743932442.941705,63488,94.37000274658203
1743932446.057198,65536,95.41999816894531
1743932449.1934762,67584,96.68000030517578
1743932452.3293169,69632,97.8499984741211
1743932455.7309358,71680,96.66999816894531
1743932458.8482964,73728,97.2699966430664
1743932462.149192,75776,97.73999786376953
1743932465.3602767,77824,97.88999938964844
1743932468.4596994,79872,96.37000274658203
1743932471.579877,81920,95.43000030517578
1743932474.693788,83968,94.8499984741211
1743932477.860774,86016,91.33000183105469
1743932481.145598,88064,91.66000366210938
1743932484.372444,90112,91.23999786376953
1743932487.8579602,92160,92.29000091552734
1743932491.5112433,94208,93.58000183105469
1743932494.8557956,96256,95.69999694824219
1743932498.1186814,98304,96.33000183105469
1743932501.3494892,100352,96.2300033569336
